targetx,targety,targetz,penaltyx,penaltyy,pealtyz,collx,colly,collz,,targetxrel,targetyrel,targetzrel,penxrel,penyrel,penzrel,collxrel,collyrel,collzrel,,,,,,,,
-0.7057393,-0.007596254,-2.728578,-0.6885116,-0.007596254,-2.734849,-0.7098439,-0.01025033,-2.740729,,0.0942607,-0.007596254,0.171422,0.1114884,-0.007596254,0.165151,0.0901561,-0.01025033,0.159271,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6466489,-0.03015381,-2.772652,-0.6576822,-0.03015381,-2.75801,-0.6437675,-0.0163722,-2.768041,,0.1533511,-0.03015381,0.127348,0.1423178,-0.03015381,0.14199,0.1562325,-0.0163722,0.131959,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9106969,-0.007596254,-2.909104,-0.9044266,-0.007596254,-2.926332,-0.9135439,-0.02096868,-2.909775,,-0.1106969,-0.007596254,-0.009104,-0.1044266,-0.007596254,-0.026332,-0.1135439,-0.02096868,-0.009775,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6593785,-0.01703721,-2.706151,-0.6438309,-0.01703721,-2.715866,-0.6720891,-0.009781599,-2.70477,,0.1406215,-0.01703721,0.193849,0.1561691,-0.01703721,0.184134,0.1279109,-0.009781599,0.19523,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6276409,-0.03015381,-2.809156,-0.6216722,-0.03015381,-2.82649,-0.6317767,-0.01629424,-2.806456,,0.1723591,-0.03015381,0.090844,0.1783278,-0.03015381,0.07351,0.1682233,-0.01629424,0.093544,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8900833,-0.03015381,-2.753426,-0.9005988,-0.03015381,-2.768444,-0.8802877,-0.02930403,-2.757744,,-0.0900833,-0.03015381,0.146574,-0.1005988,-0.03015381,0.131556,-0.0802877,-0.02930403,0.142256,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6229681,-0.007596254,-2.827215,-0.6194699,-0.007596254,-2.845212,-0.6295447,-0.01743197,-2.816307,,0.1770319,-0.007596254,0.072785,0.1805301,-0.007596254,0.054788,0.1704553,-0.01743197,0.083693,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.684473,-0.01703721,-2.795033,-0.6724453,-0.01703721,-2.808869,-0.6905077,-0.002425671,-2.792616,,0.115527,-0.01703721,0.104967,0.1275547,-0.01703721,0.091131,0.1094923,-0.002425671,0.107384,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7515153,-0.007596254,-2.939027,-0.7331848,-0.007596254,-2.939347,-0.7612097,-0.006168604,-2.922169,,0.0484847,-0.007596254,-0.039027,0.0668152,-0.007596254,-0.039347,0.0387903,-0.006168604,-0.022169,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.879063,-0.01703721,-2.740193,-0.8670352,-0.01703721,-2.726357,-0.8775987,-0.03141165,-2.734262,,-0.079063,-0.01703721,0.159807,-0.0670352,-0.01703721,0.173643,-0.0775987,-0.03141165,0.165738,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8382571,-0.007596254,-2.757836,-0.8516652,-0.007596254,-2.770339,-0.8272623,-0.01691842,-2.756996,,-0.0382571,-0.007596254,0.142164,-0.0516652,-0.007596254,0.129661,-0.0272623,-0.01691842,0.143004,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8900833,-0.007596254,-2.754667,-0.8795677,-0.007596254,-2.739649,-0.8848116,-0.02032399,-2.752784,,-0.0900833,-0.007596254,0.145333,-0.0795677,-0.007596254,0.160351,-0.0848116,-0.02032399,0.147216,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6635063,-0.007596254,-2.860416,-0.6619084,-0.007596254,-2.842152,-0.6776727,-0.00369668,-2.860098,,0.1364937,-0.007596254,0.039584,0.1380916,-0.007596254,0.057848,0.1223273,-0.00369668,0.039902,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8305019,-0.03015381,-2.821211,-0.8236341,-0.03015381,-2.804212,-0.816902,-0.0267446,-2.821542,,-0.0305019,-0.03015381,0.078789,-0.0236341,-0.03015381,0.095788,-0.016902,-0.0267446,0.078458,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.74105,-0.007596254,-2.683028,-0.7593582,-0.007596254,-2.682068,-0.7292674,-0.01021767,-2.692163,,0.05895,-0.007596254,0.216972,0.0406418,-0.007596254,0.217932,0.0707326,-0.01021767,0.207837,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8883501,-0.03015381,-2.954482,-0.8991261,-0.03015381,-2.93965,-0.874665,-0.03080034,-2.948655,,-0.0883501,-0.03015381,-0.054482,-0.0991261,-0.03015381,-0.03965,-0.074665,-0.03080034,-0.048655,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.714445,-0.03015381,-2.687075,-0.7323777,-0.03015381,-2.683264,-0.7077645,-0.02321649,-2.676431,,0.085555,-0.03015381,0.212925,0.0676223,-0.03015381,0.216736,0.0922355,-0.02321649,0.223569,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.5937745,-0.007596254,-2.924208,-0.5863177,-0.007596254,-2.907459,-0.6043315,-0.01722217,-2.920417,,0.2062255,-0.007596254,-0.024208,0.2136823,-0.007596254,-0.007459,0.1956685,-0.01722217,-0.020417,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8367051,-0.007596254,-2.85026,-0.8357456,-0.007596254,-2.831952,-0.8239267,-0.004845142,-2.840189,,-0.0367051,-0.007596254,0.04974,-0.0357456,-0.007596254,0.068048,-0.0239267,-0.004845142,0.059811,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7217329,-0.03015381,-2.772784,-0.7390674,-0.03015381,-2.766816,-0.7310083,-0.02635098,-2.774568,,0.0782671,-0.03015381,0.127216,0.0609326,-0.03015381,0.133184,0.0689917,-0.02635098,0.125432,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6523334,-0.007596254,-2.770276,-0.6403056,-0.007596254,-2.784112,-0.6698873,-0.01017213,-2.756525,,0.1476666,-0.007596254,0.129724,0.1596944,-0.007596254,0.115888,0.1301127,-0.01017213,0.143475,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6697156,-0.007596254,-2.704431,-0.685903,-0.007596254,-2.695824,-0.681366,-0.0225904,-2.697245,,0.1302844,-0.007596254,0.195569,0.114097,-0.007596254,0.204176,0.118634,-0.0225904,0.202755,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.5856146,-0.01703721,-2.902905,-0.5805612,-0.01703721,-2.885282,-0.5829241,-0.02619195,-2.889464,,0.2143854,-0.01703721,-0.002905,0.2194388,-0.01703721,0.014718,0.2170759,-0.02619195,0.010536,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8784449,-0.007596254,-2.872083,-0.8806792,-0.007596254,-2.853887,-0.867608,-0.01286507,-2.847016,,-0.0784449,-0.007596254,0.027917,-0.0806792,-0.007596254,0.046113,-0.067608,-0.01286507,0.052984,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6269242,-0.007596254,-2.896527,-0.6325895,-0.007596254,-2.913963,-0.6408569,-0.01836777,-2.880392,,0.1730758,-0.007596254,0.003473,0.1674105,-0.007596254,-0.013963,0.1591431,-0.01836777,0.019608,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8793307,-0.007596254,-2.861199,-0.8786909,-0.007596254,-2.879521,-0.8668276,-0.01472402,-2.841492,,-0.0793307,-0.007596254,0.038801,-0.0786909,-0.007596254,0.020479,-0.0668276,-0.01472402,0.058508,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7620836,-0.01703721,-2.770844,-0.7439287,-0.01703721,-2.768293,-0.7590075,-0.01426101,-2.762543,,0.0379164,-0.01703721,0.129156,0.0560713,-0.01703721,0.131707,0.0409925,-0.01426101,0.137457,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8380767,-0.007596254,-3.003706,-0.822362,-0.007596254,-3.013148,-0.8382084,-0.01096606,-2.979151,,-0.0380767,-0.007596254,-0.103706,-0.022362,-0.007596254,-0.113148,-0.0382084,-0.01096606,-0.079151,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6636515,-0.007596254,-2.866668,-0.6655679,-0.007596254,-2.884901,-0.6799507,-0.01336193,-2.857038,,0.1363485,-0.007596254,0.033332,0.1344321,-0.007596254,0.015099,0.1200493,-0.01336193,0.042962,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7027122,-0.01703721,-2.784918,-0.7180878,-0.01703721,-2.774933,-0.7114756,-0.01457453,-2.776694,,0.0972878,-0.01703721,0.115082,0.0819122,-0.01703721,0.125067,0.0885244,-0.01457453,0.123306,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.718693,-0.007596254,-2.983387,-0.7364818,-0.007596254,-2.987822,-0.7125896,-0.005703926,-2.956386,,0.081307,-0.007596254,-0.083387,0.0635182,-0.007596254,-0.087822,0.0874104,-0.005703926,-0.056386,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8080966,-0.01703721,-2.79337,-0.821721,-0.01703721,-2.805637,-0.7997901,-0.01384902,-2.778622,,-0.0080966,-0.01703721,0.10663,-0.021721,-0.01703721,0.094363,0.0002099,-0.01384902,0.121378,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.75,-0.03015381,-2.98737,-0.7316667,-0.03015381,-2.98737,-0.7516486,-0.02179503,-2.967416,,0.05,-0.03015381,-0.08737,0.0683333,-0.03015381,-0.08737,0.0483514,-0.02179503,-0.067416,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7791108,-0.007596254,-2.984215,-0.7612474,-0.007596254,-2.98834,-0.7908629,-0.009699821,-2.977764,,0.0208892,-0.007596254,-0.084215,0.0387526,-0.007596254,-0.08834,0.0091371,-0.009699821,-0.077764,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8342451,-0.007596254,-2.879569,-0.8386803,-0.007596254,-2.86178,-0.824167,-0.01935172,-2.8571,,-0.0342451,-0.007596254,0.020431,-0.0386803,-0.007596254,0.03822,-0.024167,-0.01935172,0.0429,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7791108,-0.01703721,-2.732947,-0.7612473,-0.01703721,-2.728822,-0.7709348,-0.03697872,-2.728214,,0.0208892,-0.01703721,0.167053,0.0387527,-0.01703721,0.171178,0.0290652,-0.03697872,0.171786,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8755655,-0.007596254,-2.828047,-0.8800008,-0.007596254,-2.845836,-0.8639928,-0.02214193,-2.804255,,-0.0755655,-0.007596254,0.071953,-0.0800008,-0.007596254,0.054164,-0.0639928,-0.02214193,0.095745,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6694981,-0.03015381,-2.891956,-0.6626303,-0.03015381,-2.874958,-0.6760359,-0.02073717,-2.878809,,0.1305019,-0.03015381,0.008044,0.1373697,-0.03015381,0.025042,0.1239641,-0.02073717,0.021191,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9205935,-0.007596254,-2.871438,-0.9193146,-0.007596254,-2.889727,-0.9032893,-0.01370859,-2.852693,,-0.1205935,-0.007596254,0.028562,-0.1193146,-0.007596254,0.010273,-0.1032893,-0.01370859,0.047307,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6965457,-0.007596254,-2.791605,-0.6820989,-0.007596254,-2.802893,-0.7007176,-0.002251625,-2.773222,,0.1034543,-0.007596254,0.108395,0.1179011,-0.007596254,0.097107,0.0992824,-0.002251625,0.126778,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.5833729,-0.01703721,-2.898714,-0.587497,-0.01703721,-2.916577,-0.6000985,-0.02361417,-2.879332,,0.2166271,-0.01703721,0.001286,0.212503,-0.01703721,-0.016577,0.1999015,-0.02361417,0.020668,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6327152,-0.01703721,-2.915083,-0.6404632,-0.01703721,-2.931699,-0.6452688,-0.01308727,-2.88907,,0.1672848,-0.01703721,-0.015083,0.1595368,-0.01703721,-0.031699,0.1547312,-0.01308727,0.01093,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6212994,-0.007596254,-2.846937,-0.619383,-0.007596254,-2.86517,-0.6376213,-0.01334214,-2.83448,,0.1787006,-0.007596254,0.053063,0.180617,-0.007596254,0.03483,0.1623787,-0.01334214,0.06552,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8022521,-0.01703721,-2.929887,-0.7876104,-0.01703721,-2.94092,-0.8015261,-0.01288152,-2.896173,,-0.0022521,-0.01703721,-0.029887,0.0123896,-0.01703721,-0.04092,-0.0015261,-0.01288152,0.003827,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7203044,-0.03015381,-3.029583,-0.7022496,-0.03015381,-3.026399,-0.7292836,-0.03434896,-2.998236,,0.0796956,-0.03015381,-0.129583,0.0977504,-0.03015381,-0.126399,0.0707164,-0.03434896,-0.098236,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.802845,-0.03015381,-2.698601,-0.785409,-0.03015381,-2.692936,-0.8004689,-0.03924465,-2.694633,,-0.002845,-0.03015381,0.201399,0.014591,-0.03015381,0.207064,-0.0004689,-0.03924465,0.205367,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6640208,-0.007596254,-2.849314,-0.6665723,-0.007596254,-2.831159,-0.677567,-0.009408236,-2.838357,,0.1359792,-0.007596254,0.050686,0.1334277,-0.007596254,0.068841,0.122433,-0.009408236,0.061643,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.671963,-0.03015381,-2.899526,-0.6799998,-0.03015381,-2.916003,-0.6842024,-0.02249265,-2.872567,,0.128037,-0.03015381,0.000474,0.1200002,-0.03015381,-0.016003,0.1157976,-0.02249265,0.027433,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7246151,-0.03015381,-2.944785,-0.7070829,-0.03015381,-2.939425,-0.7273654,-0.02227736,-2.929594,,0.0753849,-0.03015381,-0.044785,0.0929171,-0.03015381,-0.039425,0.0726346,-0.02227736,-0.029594,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8770853,-0.01703721,-2.976256,-0.8893527,-0.01703721,-2.962631,-0.8793135,-0.02975607,-2.95333,,-0.0770853,-0.01703721,-0.076256,-0.0893527,-0.01703721,-0.062631,-0.0793135,-0.02975607,-0.05333,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.781307,-0.01703721,-2.987472,-0.7990957,-0.01703721,-2.983037,-0.784644,-0.00770402,-2.975764,,0.018693,-0.01703721,-0.087472,0.0009043,-0.01703721,-0.083037,0.015356,-0.00770402,-0.075764,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6480239,-0.03015381,-2.782308,-0.6593111,-0.03015381,-2.767861,-0.6546363,-0.03635454,-2.777503,,0.1519761,-0.03015381,0.117692,0.1406889,-0.03015381,0.132139,0.1453637,-0.03635454,0.122497,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8005643,-0.007596254,-2.743085,-0.7836884,-0.007596254,-2.735921,-0.8029061,-0.02415824,-2.737921,,-0.0005643,-0.007596254,0.156915,0.0163116,-0.007596254,0.164079,-0.0029061,-0.02415824,0.162079,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7605812,-0.03015381,-2.776109,-0.7423845,-0.03015381,-2.773874,-0.762343,-0.03170085,-2.765739,,0.0394188,-0.03015381,0.123891,0.0576155,-0.03015381,0.126126,0.037657,-0.03170085,0.134261,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8980991,-0.03015381,-2.776849,-0.9072657,-0.03015381,-2.792726,-0.878846,-0.02987647,-2.755247,,-0.0980991,-0.03015381,0.123151,-0.1072657,-0.03015381,0.107274,-0.078846,-0.02987647,0.144753,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6553559,-0.03015381,-2.774238,-0.6428525,-0.03015381,-2.787646,-0.6570071,-0.02767658,-2.750517,,0.1446441,-0.03015381,0.125762,0.1571475,-0.03015381,0.112354,0.1429929,-0.02767658,0.149483,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.5903484,-0.01703721,-2.923851,-0.5837783,-0.01703721,-2.906736,-0.603757,-0.007053375,-2.905768,,0.2096516,-0.01703721,-0.023851,0.2162217,-0.01703721,-0.006736,0.196243,-0.007053375,-0.005768,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7866935,-0.01703721,-2.941399,-0.8033091,-0.01703721,-2.933651,-0.785009,-0.03136826,-2.914075,,0.0133065,-0.01703721,-0.041399,-0.0033091,-0.01703721,-0.033651,0.014991,-0.03136826,-0.014075,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7878357,-0.01703721,-2.986552,-0.8053679,-0.01703721,-2.981191,-0.7839977,-0.01335549,-2.953523,,0.0121643,-0.01703721,-0.086552,-0.0053679,-0.01703721,-0.081191,0.0160023,-0.01335549,-0.053523,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7052823,-0.007596254,-2.788514,-0.720997,-0.007596254,-2.779072,-0.7014335,-0.008658409,-2.76838,,0.0947177,-0.007596254,0.111486,0.079003,-0.007596254,0.120928,0.0985665,-0.008658409,0.13162,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject)
